INFO 2025-04-25 15:51:55,568 task_splitter 109845 140140139775552 Conteneurisation de 1 tâches feuilles
INFO 2025-04-25 15:51:55,570 task_splitter 109845 140140139775552 Conteneurisation de la tâche ea7962dd-281c-4f91-8871-d31d1a4205f6, commande: process_text_batch
INFO 2025-04-25 15:52:21,340 task_splitter 109845 140140139775552 Tâche ea7962dd-281c-4f91-8871-d31d1a4205f6 conteneurisée avec succès: docker.io/patricehub/text_processor:ea7962dd281c
INFO 2025-04-25 15:52:21,340 task_splitter 109845 140140139775552 Conteneurisation terminée pour 1 tâches feuilles
INFO 2025-04-25 15:52:21,341 task_splitter 109845 140140139775552 Workflow 78694031-835f-47bb-96b3-c0679e9fa930 découpé en 2 tâches et conteneurisé
INFO 2025-05-02 13:19:11,248 views 201422 134714427209280 Original workflow type: TEXT_PROCESSING
INFO 2025-05-02 13:19:11,263 task_splitter 201422 134714427209280 Découpage du workflow e1019aec-0dc4-4033-ba0c-62248b68025f de type TEXT_PROCESSING
INFO 2025-05-02 13:19:11,264 task_splitter 201422 134714427209280 Original workflow type: TEXT_PROCESSING
INFO 2025-05-02 13:19:11,264 task_splitter 201422 134714427209280 Mapped workflow type: TEXT_PROCESSING
INFO 2025-05-02 13:19:11,274 task_splitter 201422 134714427209280 Début de la conteneurisation pour 2 tâches
INFO 2025-05-02 13:19:21,375 task_splitter 201422 134714427209280 Conteneurisation de 1 tâches feuilles
INFO 2025-05-02 13:19:21,377 task_splitter 201422 134714427209280 Conteneurisation de la tâche 69713dea-8614-4917-987b-ac610f0622d1, commande: process_text_batch
INFO 2025-05-02 13:20:27,777 task_splitter 201422 134714427209280 Tâche 69713dea-8614-4917-987b-ac610f0622d1 conteneurisée avec succès: docker.io/patricehub/text_processor:69713dea8614
INFO 2025-05-02 13:20:27,777 task_splitter 201422 134714427209280 Conteneurisation terminée pour 1 tâches feuilles
INFO 2025-05-02 13:20:27,778 task_splitter 201422 134714427209280 Workflow e1019aec-0dc4-4033-ba0c-62248b68025f découpé en 2 tâches et conteneurisé
INFO 2025-05-02 13:22:32,599 views 201422 134714418816576 Original workflow type: TEXT_PROCESSING
INFO 2025-05-02 13:22:32,612 task_splitter 201422 134714418816576 Découpage du workflow b88e520b-2793-4f77-82db-00c9754d3f61 de type TEXT_PROCESSING
INFO 2025-05-02 13:22:32,613 task_splitter 201422 134714418816576 Original workflow type: TEXT_PROCESSING
INFO 2025-05-02 13:22:32,613 task_splitter 201422 134714418816576 Mapped workflow type: TEXT_PROCESSING
INFO 2025-05-02 13:22:32,627 task_splitter 201422 134714418816576 Début de la conteneurisation pour 2 tâches
INFO 2025-05-02 13:22:52,681 task_splitter 201422 134714418816576 Conteneurisation de 1 tâches feuilles
INFO 2025-05-02 13:22:52,683 task_splitter 201422 134714418816576 Conteneurisation de la tâche 2945af67-62fa-4ee4-a49c-205c3294bbe5, commande: process_text_batch
ERROR 2025-05-02 13:23:03,348 task_splitter 201422 134714418816576 Erreur lors de la conteneurisation de la tâche 2945af67-62fa-4ee4-a49c-205c3294bbe5: Erreur lors de la construction de l'image: Command '['docker', 'build', '-t', 'docker.io/patricehub/text_processor:2945af6762fa', '.']' returned non-zero exit status 1.
INFO 2025-05-02 13:23:03,350 task_splitter 201422 134714418816576 Conteneurisation terminée pour 1 tâches feuilles
INFO 2025-05-02 13:23:03,352 task_splitter 201422 134714418816576 Workflow b88e520b-2793-4f77-82db-00c9754d3f61 découpé en 2 tâches et conteneurisé
INFO 2025-05-05 07:49:16,034 views 261485 132579364120128 Workflow créé: 0db973c3-3c6c-467c-a825-d9b66fd95400 - Type: MATRIX_ADDITION
INFO 2025-05-05 07:49:16,095 views 261485 132579364120128 Soumission du workflow 0db973c3-3c6c-467c-a825-d9b66fd95400 de type MATRIX_ADDITION
ERROR 2025-05-05 07:49:16,110 views 261485 132579364120128 Erreur lors de la soumission du workflow: type object 'TaskSplitter' has no attribute 'split_addition_workflow'
